profile_id,user_id,time_window_days,model,profile_type,profile_text
user_000001/30d/gemini/user_facing,user_000001,30,gemini-2.0-flash,user_facing,"The user enjoys a variety of electronic music, with a strong preference for techno and minimal techno. They also listen to deep house, IDM, and ambient tracks, showing an appreciation for both instrumental and vocal pieces. Tracks from the United Kingdom and Japan appear frequently in the listening history."
user_000001/30d/gemini/rec_optimized,user_000001,30,gemini-2.0-flash,rec_optimized,"KEYWORDS: electronic, techno, minimal techno, deep house, idm, ambient, house, UK, Japan, Scsi-9, Ian O'Brien, Plaid, Kawabata, minimal, experimental, tech house, chillout, electronica, Warp, sexy
QUERIES:
1) Find more minimal techno tracks similar to Scsi-9 and Kawabata.
2) Recommend electronic music with ambient and IDM influences from the UK.
3) Suggest deep house tracks with tech house and minimal elements.
4) Discover new electronic artists from Japan similar to Anchorsong and Kaito.
5) What are some popular chillout tracks in electronic music?"
user_000001/90d/gemini/user_facing,user_000001,90,gemini-2.0-flash,user_facing,"The user has been enjoying a mix of electronic music, with a strong interest in tracks blending electronic elements with other genres such as jazz, hip-hop, and techno. Minimal techno and IDM are also present in their listening history. A few tracks lean towards jazz, with some originating from Norway and Argentina."
user_000001/90d/gemini/rec_optimized,user_000001,90,gemini-2.0-flash,rec_optimized,"KEYWORDS: electronic, minimal, techno, jazz, idm, ambient, experimental, hip-hop, norwegian, japanese, Warp, acid jazz, shibuya-kei, tech house, chillout, argentina, guitar, Bossa Nova, Drum and bass, liquid funk
QUERIES:
1) Electronic music with jazz, hip-hop, or experimental elements from Japan, Norway, or Argentina
2) Find more minimal techno tracks similar to Masomenos and Scsi-9
3) Recommend IDM and electronic tracks from Warp artists like Clark and Plaid
4) Show me more acid jazz and Shibuya-kei music similar to Towa Tei
5) Suggest electronic music with ambient, chillout, or liquid funk influences"
user_000001/180d/gemini/user_facing,user_000001,180,gemini-2.0-flash,user_facing,"The user has been listening to a mix of electronic and jazz music, with a particular emphasis on minimal techno and Japanese artists. They also enjoy music with ambient and chillout elements. Additionally, the user has shown interest in Hip-Hop and folk music."
user_000001/180d/gemini/rec_optimized,user_000001,180,gemini-2.0-flash,rec_optimized,"KEYWORDS: electronic, minimal, techno, jazz, japanese, ambient, chillout, minimal techno, norwegian, house, folk, hip-hop, acid jazz, experimental, indie rock, Shibuya-kei, Towa Tei, Rֳ¶yksopp, Warp
QUERIES:
1) Find similar music to Towa Tei and other Japanese electronic artists
2) Discover more minimal techno artists like Masomenos and Scsi-9
3) Explore chillout and ambient electronic music similar to Rֳ¶yksopp and Plaid
4) Find more jazz music with electronic elements like Bugge Wesseltoft
5) Suggest more folk and indie rock music like Fleet Foxes' recent release"
user_000001/365d/gemini/user_facing,user_000001,365,gemini-2.0-flash,user_facing,"The user has been enjoying a mix of electronic and jazz music. They particularly like minimal techno, ambient soundscapes, and tracks with Japanese influence. There's also an interest in music with origins in Norway and Argentina."
user_000001/365d/gemini/rec_optimized,user_000001,365,gemini-2.0-flash,rec_optimized,"KEYWORDS: electronic, minimal, techno, jazz, japanese, ambient, norwegian, argentina, minimal techno, house, chillout, folk, indie, Shibuya-kei, acid jazz, guitar, bossa nova, experimental, hip-hop, indie rock
QUERIES:
1) Find similar music to Towa Tei with electronic and Japanese influences
2) Recommend minimal techno tracks similar to Masomenos and Scsi-9
3) Suggest more jazz with guitar and bossa nova elements from Argentina
4) Find electronic music from Norway like Rֳ¶yksopp and Bugge Wesseltoft
5) Look for new folk or indie rock similar to Fleet Foxes"
user_000002/30d/gemini/user_facing,user_000002,30,gemini-2.0-flash,user_facing,"This user enjoys a diverse mix of music, with a strong preference for punk rock, indie, and jazz. There's a notable interest in German-language music, alongside female vocalists in jazz. They also seem to enjoy music from various decades, with a selection of tracks from the early 2000s to more recent releases."
user_000002/30d/gemini/rec_optimized,user_000002,30,gemini-2.0-flash,rec_optimized,"KEYWORDS: punk rock, indie, jazz, german, rock, alternative, female vocalists, indie rock, punk, Hamburger Schule, United States, Germany, Canada, United Kingdom, Beatsteaks, Ella Fitzgerald, Tomte
QUERIES:
1) Punk rock similar to Beatsteaks and Blink-182 from the United States and Germany
2) Indie rock with German lyrics, like Tomte, Tocotronic, and Kettcar
3) Jazz featuring female vocalists similar to Ella Fitzgerald and Sophie Milman
4) Alternative rock or indie with a punk influence from the United Kingdom
5) New releases in German indie and punk rock music from 2020 to 2024"
