model,user_id,time_window_days,profile_type,total_claims,unsupported_claims,unsupported_claim_rate,claimed_genres,unsupported_genres,claimed_countries,unsupported_countries,claimed_years,unsupported_years,claimed_artists,unsupported_artists,genre_token_coverage
gemini,user_000001,30,user_facing,15,5,0.3333333333333333,11,3,2,0,0,0,2,2,0.21621621621621623
gemini,user_000001,30,rec_optimized,22,1,0.045454545454545456,15,1,1,0,0,0,6,0,0.40540540540540543
gemini,user_000001,90,user_facing,12,2,0.16666666666666666,9,1,2,0,0,0,1,1,0.21428571428571427
gemini,user_000001,90,rec_optimized,35,4,0.11428571428571428,26,3,3,0,0,0,6,1,0.6428571428571429
gemini,user_000001,180,user_facing,14,3,0.21428571428571427,11,1,1,0,0,0,2,2,0.3076923076923077
gemini,user_000001,180,rec_optimized,33,6,0.18181818181818182,24,5,1,0,0,0,8,1,0.5128205128205128
gemini,user_000001,365,user_facing,13,2,0.15384615384615385,8,0,3,0,0,0,2,2,0.20512820512820512
gemini,user_000001,365,rec_optimized,36,6,0.16666666666666666,26,5,3,0,0,0,7,1,0.5897435897435898
gemini,user_000002,30,user_facing,12,4,0.3333333333333333,10,2,0,0,0,0,2,2,0.25925925925925924
gemini,user_000002,30,rec_optimized,28,6,0.21428571428571427,12,1,4,0,2,2,10,3,0.37037037037037035
gemini,user_000002,90,user_facing,17,7,0.4117647058823529,11,4,3,0,0,0,3,3,0.2962962962962963
gemini,user_000002,90,rec_optimized,44,13,0.29545454545454547,33,11,1,0,0,0,10,2,0.7777777777777778
gemini,user_000002,180,user_facing,17,5,0.29411764705882354,12,3,0,0,0,0,5,2,0.3333333333333333
gemini,user_000002,180,rec_optimized,42,10,0.23809523809523808,29,7,0,0,0,0,13,3,0.7037037037037037
gemini,user_000002,365,user_facing,15,5,0.3333333333333333,13,3,0,0,0,0,2,2,0.37037037037037035
gemini,user_000002,365,rec_optimized,35,8,0.22857142857142856,27,6,0,0,0,0,8,2,0.6666666666666666
gemini,user_000003,30,user_facing,13,1,0.07692307692307693,9,0,1,0,0,0,3,1,0.21875
gemini,user_000003,30,rec_optimized,39,7,0.1794871794871795,27,5,1,0,0,0,11,2,0.625
gemini,user_000003,90,user_facing,16,1,0.0625,10,0,0,0,0,0,6,1,0.3103448275862069
gemini,user_000003,90,rec_optimized,30,1,0.03333333333333333,18,0,2,0,0,0,10,1,0.5517241379310345
gemini,user_000003,180,user_facing,17,3,0.17647058823529413,11,1,4,0,0,0,2,2,0.3103448275862069
gemini,user_000003,180,rec_optimized,25,1,0.04,17,0,2,0,0,0,6,1,0.4827586206896552
gemini,user_000003,365,user_facing,13,1,0.07692307692307693,10,1,0,0,0,0,3,0,0.27586206896551724
gemini,user_000003,365,rec_optimized,24,2,0.08333333333333333,15,1,2,0,0,0,7,1,0.41379310344827586
gemini,user_000004,30,user_facing,17,5,0.29411764705882354,12,3,3,0,0,0,2,2,0.45454545454545453
gemini,user_000004,30,rec_optimized,31,10,0.3225806451612903,24,8,2,0,0,0,5,2,0.8181818181818182
gemini,user_000004,90,user_facing,10,2,0.2,7,1,2,0,0,0,1,1,0.2857142857142857
gemini,user_000004,90,rec_optimized,27,8,0.2962962962962963,20,7,2,0,1,0,4,1,0.4642857142857143
gemini,user_000004,180,user_facing,9,2,0.2222222222222222,7,1,1,0,0,0,1,1,0.2857142857142857
gemini,user_000004,180,rec_optimized,28,8,0.2857142857142857,21,7,2,0,1,0,4,1,0.5
gemini,user_000004,365,user_facing,10,3,0.3,5,1,1,0,2,0,2,2,0.21428571428571427
gemini,user_000004,365,rec_optimized,28,7,0.25,16,5,1,0,2,1,9,1,0.42857142857142855
gemini,user_000005,30,user_facing,12,2,0.16666666666666666,8,1,0,0,0,0,4,1,0.26666666666666666
gemini,user_000005,30,rec_optimized,23,4,0.17391304347826086,22,4,0,0,0,0,1,0,0.5666666666666667
gemini,user_000005,90,user_facing,12,3,0.25,8,2,0,0,0,0,4,1,0.25
gemini,user_000005,90,rec_optimized,31,4,0.12903225806451613,20,4,0,0,0,0,11,0,0.59375
gemini,user_000005,180,user_facing,17,5,0.29411764705882354,10,3,0,0,0,0,7,2,0.21621621621621623
gemini,user_000005,180,rec_optimized,40,12,0.3,30,10,5,0,0,0,5,2,0.6486486486486487
gemini,user_000005,365,user_facing,18,7,0.3888888888888889,15,4,0,0,0,0,3,3,0.3783783783783784
gemini,user_000005,365,rec_optimized,27,3,0.1111111111111111,16,2,2,0,0,0,9,1,0.4594594594594595
gemini,user_000008,30,user_facing,14,5,0.35714285714285715,6,2,0,0,0,0,8,3,0.15625
gemini,user_000008,30,rec_optimized,32,11,0.34375,24,9,1,0,0,0,7,2,0.46875
gemini,user_000008,90,user_facing,13,3,0.23076923076923078,8,2,0,0,0,0,5,1,0.1388888888888889
gemini,user_000008,90,rec_optimized,28,7,0.25,18,5,2,0,1,0,7,2,0.3333333333333333
gemini,user_000008,180,user_facing,18,5,0.2777777777777778,13,4,0,0,0,0,5,1,0.24324324324324326
gemini,user_000008,180,rec_optimized,38,10,0.2631578947368421,27,9,3,0,0,0,8,1,0.4864864864864865
gemini,user_000008,365,user_facing,10,3,0.3,7,1,1,0,0,0,2,2,0.16216216216216217
gemini,user_000008,365,rec_optimized,37,8,0.21621621621621623,23,7,3,0,5,0,6,1,0.43243243243243246
gemini,user_000009,30,user_facing,15,4,0.26666666666666666,11,2,2,0,0,0,2,2,0.2
gemini,user_000009,30,rec_optimized,27,6,0.2222222222222222,22,5,2,0,0,0,3,1,0.43333333333333335
gemini,user_000009,90,user_facing,16,4,0.25,10,2,4,0,0,0,2,2,0.16129032258064516
gemini,user_000009,90,rec_optimized,27,3,0.1111111111111111,14,2,4,0,0,0,9,1,0.25806451612903225
gemini,user_000009,180,user_facing,13,2,0.15384615384615385,8,1,1,0,0,0,4,1,0.16
gemini,user_000009,180,rec_optimized,29,5,0.1724137931034483,19,5,1,0,0,0,9,0,0.4
gemini,user_000009,365,user_facing,24,5,0.20833333333333334,18,3,4,0,0,0,2,2,0.36
gemini,user_000009,365,rec_optimized,37,8,0.21621621621621623,28,7,2,0,0,0,7,1,0.6
gemini,user_000012,30,user_facing,13,4,0.3076923076923077,9,2,2,0,0,0,2,2,0.21212121212121213
gemini,user_000012,30,rec_optimized,21,4,0.19047619047619047,14,3,3,0,0,0,4,1,0.3333333333333333
gemini,user_000012,90,user_facing,14,3,0.21428571428571427,9,1,3,0,0,0,2,2,0.18181818181818182
gemini,user_000012,90,rec_optimized,36,6,0.16666666666666666,26,5,1,0,0,0,9,1,0.4772727272727273
gemini,user_000012,180,user_facing,19,5,0.2631578947368421,13,4,1,0,0,0,5,1,0.23809523809523808
gemini,user_000012,180,rec_optimized,42,14,0.3333333333333333,34,12,0,0,0,0,8,2,0.5
gemini,user_000012,365,user_facing,15,4,0.26666666666666666,10,2,3,0,0,0,2,2,0.16666666666666666
gemini,user_000012,365,rec_optimized,44,13,0.29545454545454547,33,12,0,0,0,0,11,1,0.4523809523809524
gemini,user_000015,30,user_facing,14,5,0.35714285714285715,13,4,0,0,0,0,1,1,0.32142857142857145
gemini,user_000015,30,rec_optimized,39,8,0.20512820512820512,31,7,0,0,1,0,7,1,0.8571428571428571
gemini,user_000015,90,user_facing,19,5,0.2631578947368421,12,4,6,0,0,0,1,1,0.2962962962962963
gemini,user_000015,90,rec_optimized,29,8,0.27586206896551724,25,7,0,0,0,0,4,1,0.5925925925925926
gemini,user_000015,180,user_facing,13,3,0.23076923076923078,12,2,0,0,0,0,1,1,0.38461538461538464
gemini,user_000015,180,rec_optimized,24,4,0.16666666666666666,19,4,0,0,0,0,5,0,0.46153846153846156
gemini,user_000015,365,user_facing,15,4,0.26666666666666666,14,3,0,0,0,0,1,1,0.34615384615384615
